thresh,npix,tnpix,xmin,xmax,ymin,ymax,x,y,x2,y2,xy,errx2,erry2,errxy,a,b,theta,cxx,cyy,cxy,cflux,flux,cpeak,peak,xcpeak,ycpeak,xpeak,ypeak,flag
50.0,8,5,139,142,0,2,140.46665810675026,0.9885802268972921,0.6974033225347434,0.4442712114955433,-0.002791812280867889,0.0,0.0,0.0,0.835125207901001,0.6665136218070984,-0.01102728396654129,1.4339265823364258,2.250933885574341,0.01802166737616062,516.6826171875,648.6361694335938,86.78633880615234,153.4512481689453,140,1,141,1,2
50.0,16,9,130,134,0,3,131.95947394974425,1.4884902976833962,0.8901497417307289,0.7799589450249829,0.010273654545700062,0.0,0.0,0.0,0.9439806342124939,0.8826150298118591,0.09217651188373566,1.123577356338501,1.2823137044906616,-0.029599621891975403,2568.425537109375,2750.826416015625,359.0827941894531,665.7167358398438,132,1,132,1,2
50.0,14,8,167,170,0,3,168.67912210582574,1.103459153750733,0.7967220340009602,0.7030207714594441,0.010116508024078374,0.0,0.0,0.0,0.8931975364685059,0.8378191590309143,0.10633297264575958,1.2553722858428955,1.4226930141448975,-0.03612975403666496,2583.957763671875,2853.582275390625,419.1460876464844,866.5338745117188,169,1,169,1,2
50.0,18,11,175,179,0,3,176.91508942388583,0.9347407455188642,1.0017826942242043,0.6675093419280639,0.007109035992796331,0.0,0.0,0.0,1.0009664297103882,0.8169199824333191,0.021254321560263634,0.9982959032058716,1.498219609260559,-0.021263888105750084,6612.13671875,7324.49365234375,1047.0023193359375,2139.08740234375,177,1,177,1,2
50.0,14,10,79,82,1,4,80.78529208785861,2.49267326472605,0.7644665225503728,0.83669786915778,-0.008500683295045164,0.0,0.0,0.0,0.9152511954307556,0.8737732172012329,-1.455213189125061,1.308249592781067,1.1953096389770508,0.02658310905098915,1655.60302734375,1799.67529296875,226.49813842773438,405.0340576171875,81,2,81,2,0
50.0,42,33,113,119,0,8,114.87722905959195,4.980997215647634,1.1815959430859828,1.6433986950503439,-0.03953022598060585,0.0,0.0,0.0,1.283260703086853,1.0854660272598267,-1.486018419265747,0.8469945788383484,0.6089851260185242,0.040747128427028656,21668.607421875,21998.025390625,2811.913330078125,5791.40185546875,115,5,115,5,2
50.0,10,7,234,237,8,10,235.48559628027556,8.988897293788373,0.7382536265046045,0.543870799019284,-0.16362909755914234,0.0,0.0,0.0,0.9118001461029053,0.6713754534721375,-0.5174098014831543,1.451327919960022,1.9700416326522827,0.8732937574386597,992.6954956054688,1143.807373046875,160.06666564941406,316.67230224609375,235,9,235,9,0
50.0,83,73,216,230,0,11,224.23032984032548,3.671993621384054,2.4369306863947315,1.9990428560229923,-0.5000359824055458,0.0,0.0,0.0,1.6624846458435059,1.2931041717529297,-0.579043447971344,0.4325534701347351,0.5273037552833557,0.21639586985111237,70867.1953125,71536.828125,8383.568359375,18228.2421875,224,4,224,4,3
50.0,8,7,45,47,10,12,45.541925576583616,10.544006160100864,0.6186495756154291,0.5726784981925878,-0.003106473695514589,0.0,0.0,0.0,0.7866756319999695,0.7566171884536743,-0.06716755032539368,1.6164679527282715,1.7462279796600342,0.017536943778395653,882.380126953125,1112.0279541015625,164.48098754882812,309.51885986328125,46,11,46,11,1
50.0,13,9,48,51,8,11,49.14595725780731,9.65512722912662,0.8383844876712105,0.7513224034473298,-0.09421707846252492,0.0,0.0,0.0,0.9479666352272034,0.8313038945198059,-0.568992018699646,1.2098195552825928,1.3500115871429443,0.3034267723560333,1499.4617919921875,1625.3521728515625,208.1859893798828,405.3729248046875,49,10,49,10,1
50.0,8,7,73,75,12,14,73.82107046382019,13.063307855707151,0.5788165621106207,0.5613939228731764,0.1453195139389346,0.0,0.0,0.0,0.8459820747375488,0.6515557169914246,0.7554609775543213,1.8477460145950317,1.905090093612671,-0.9565958976745605,501.03759765625,607.4641723632812,80.17207336425781,138.1663055419922,74,13,73,13,0
50.0,18,10,217,221,15,18,218.62319265144222,16.675378328636672,0.9828592477556186,0.80483752321051,0.014995551293736309,0.0,0.0,0.0,0.9920249581336975,0.8964280486106873,0.0834507867693901,1.0177290439605713,1.242840051651001,-0.03792419284582138,3953.64501953125,4157.92822265625,540.071533203125,985.4916381835938,219,17,218,17,0
50.0,67,63,225,234,10,18,228.56185830478395,14.084248019689262,1.5359190360755761,1.404224886150022,0.011169483302278849,0.0,0.0,0.0,1.2397013902664185,1.184602975845337,0.08401411026716232,0.6511136293411255,0.7121778130531311,-0.010358174331486225,67426.46875,67754.7421875,8107.34619140625,16170.0498046875,228,14,228,14,0
50.0,11,7,23,26,17,19,24.581328546482005,17.96724129375525,0.8157582348684786,0.5549258993517774,0.08588197218611415,0.0,0.0,0.0,0.9173309803009033,0.7274531126022339,0.2911715507507324,1.2461572885513306,1.8318898677825928,-0.3857179880142212,1070.7176513671875,1235.0218505859375,164.13992309570312,307.3323974609375,24,18,24,18,0
50.0,18,10,153,157,15,19,155.08092629696216,17.604629899519768,1.1774583378461658,0.9739807100580435,0.06239050346354702,0.0,0.0,0.0,1.093190312385559,0.9779437184333801,0.2750496566295624,0.8521794676780701,1.0302112102508545,-0.10917650163173676,2185.889404296875,2414.61572265625,257.6316833496094,370.09228515625,155,18,155,18,0
50.0,7,6,139,141,21,23,139.64714981673103,21.939137356855714,0.4119628217453225,0.5104114222132916,0.009565094234749938,0.0,0.0,0.0,0.715074896812439,0.6411256790161133,1.4748339653015137,2.428460121154785,1.9600566625595093,-0.09101853519678116,609.2726440429688,826.5860595703125,122.93231201171875,225.40711975097656,140,22,140,22,0
50.0,13,9,14,17,21,24,15.727195596373775,22.732256738966377,0.769653863677394,0.7423195747449158,0.0928510728814187,0.0,0.0,0.0,0.9218667149543762,0.8137168884277344,0.7123257517814636,1.3191919326782227,1.3677682876586914,-0.33001524209976196,1519.193359375,1682.726318359375,234.17803955078125,473.5172119140625,16,23,16,23,0
50.0,114,105,88,100,14,26,93.83858983036706,18.715897135177165,1.727520654201797,1.6939312081568225,0.04863937532187279,0.0,0.0,0.0,1.327472448348999,1.288125991821289,0.6191615462303162,0.5793326497077942,0.5908203721046448,-0.03326980024576187,197884.96875,198370.53125,23982.494140625,46233.66015625,94,19,94,19,0
50.0,13,10,253,255,22,26,254.11850454858185,24.28463431454825,0.5390276766999262,0.9328741992048144,0.016650141254032302,0.0,0.0,0.0,0.9662178158760071,0.7337063550949097,1.528620958328247,1.8562157154083252,1.072547197341919,-0.06626027822494507,2978.974609375,3402.91064453125,480.17120361328125,927.0914916992188,254,24,254,24,2
50.0,17,16,129,133,23,27,130.52157430265245,24.310205094648698,1.0170384530113648,1.0339786613211075,-0.16589429184450144,0.0,0.0,0.0,1.0916130542755127,0.9270372986793518,-0.8109046220779419,1.0096707344055176,0.9931287169456482,0.32398852705955505,2387.98095703125,2691.237548828125,285.29266357421875,545.118408203125,131,24,130,24,0
50.0,16,9,21,26,25,28,23.781246182900166,26.42745026342176,1.1027621168266304,0.775486355343018,-0.07785265191438828,0.0,0.0,0.0,1.0584601163864136,0.8705806136131287,-0.22203485667705536,0.9132867455482483,1.298717975616455,0.18337343633174896,1910.4014892578125,2021.34521484375,255.996826171875,482.2738037109375,24,26,24,26,1
50.0,21,16,59,63,24,28,60.49280130116813,26.08745273007607,0.9647619778236911,0.971693407925331,0.0741671461250002,0.0,0.0,0.0,1.021017074584961,0.9455049633979797,0.8087453842163086,1.0426430702209473,1.035205602645874,-0.1591651439666748,5934.5712890625,6168.3642578125,800.201416015625,1612.3111572265625,60,26,60,26,0
50.0,15,10,169,173,25,28,171.04826859275826,26.435365967304318,0.8638521040188181,0.79983135350796,0.046056781781172784,0.0,0.0,0.0,0.9423003792762756,0.8807687163352966,0.4817103147506714,1.161170482635498,1.254113793373108,-0.13372762501239777,2064.26123046875,2240.90283203125,290.1407165527344,541.7506713867188,171,26,171,26,0
50.0,31,26,30,35,20,25,31.92349681705268,22.584259280474996,1.2069042854998848,1.1667455150016472,-0.0053395126581614605,0.0,0.0,0.0,1.0989094972610474,1.0798368453979492,-0.12995263934135437,0.8285828828811646,0.8571022748947144,0.007583879865705967,10969.52734375,11104.056640625,1368.0557861328125,2679.17626953125,32,23,32,23,1
50.0,19,13,33,37,25,29,35.000059816414975,27.52573820466265,1.0413188304395034,0.9617264034517561,0.06549909831936596,0.0,0.0,0.0,1.0383466482162476,0.961707592010498,0.5124094486236572,0.9644522666931152,1.0442702770233154,-0.131369486451149,3135.27490234375,3251.127197265625,404.26031494140625,798.3675537109375,35,28,35,28,1
50.0,16,11,238,241,25,29,239.36547933748528,27.248073340385,0.8073973125198395,0.8794653718689291,-0.007567952346136497,0.0,0.0,0.0,0.9382172226905823,0.898115336894989,-1.4672895669937134,1.2386474609375,1.1371461153030396,0.021317554637789726,3438.5107421875,3676.095703125,490.60601806640625,943.47021484375,239,27,239,27,0
50.0,14,9,201,204,28,31,202.46521133985317,29.321266962905504,0.8025402088364215,0.755874229673209,0.014947496695247642,0.0,0.0,0.0,0.8982858061790466,0.8668892979621887,0.28487518429756165,1.2465026378631592,1.3234589099884033,-0.0492994524538517,2432.982177734375,2642.892578125,345.11407470703125,636.370361328125,202,29,202,29,0
50.0,28,22,112,118,24,28,114.69177347449725,25.834860955827253,1.7612436773798876,1.1135014864659336,-0.036963492600851744,0.0,0.0,0.0,1.3279104232788086,1.0542291402816772,-0.05681927874684334,0.5681764483451843,0.8986940383911133,0.037722062319517136,5278.1025390625,5529.18359375,556.9625854492188,1104.2666015625,114,26,114,26,1
50.0,15,10,116,119,28,32,117.05498029517655,29.977874310840473,0.8463287483233679,0.9038708859526752,-0.04831013125904504,0.0,0.0,0.0,0.9650534987449646,0.9049150943756104,-1.0539684295654297,1.1851898431777954,1.1097384691238403,0.12669216096401215,1885.083740234375,1990.038818359375,279.6000671386719,607.3450317382812,117,30,117,30,1
50.0,16,11,228,231,28,32,229.71307008861177,29.775971408587925,0.815036654876597,1.0365833005168685,0.13555059357858967,0.0,0.0,0.0,1.0492217540740967,0.8664604425430298,1.1279717683792114,1.2542154788970947,0.9861547946929932,-0.32801929116249084,2187.909423828125,2429.556884765625,277.0973815917969,503.38800048828125,230,30,229,30,0
50.0,33,22,1,6,27,33,3.102878728604802,29.631401663618018,2.019270418439347,2.113068364623782,0.31196121025520185,0.0,0.0,0.0,1.543255090713501,1.3231412172317505,0.8600074052810669,0.5067873597145081,0.48429131507873535,-0.1496383100748062,3982.724609375,4205.2353515625,278.15777587890625,570.0148315429688,2,29,2,29,0
50.0,34,23,102,110,29,34,107.2553854523455,31.714098276193393,1.5349862616425511,1.0339247649211298,-0.01464314742677253,0.0,0.0,0.0,1.239118218421936,1.0166106224060059,-0.029191041365265846,0.6515596508979797,0.9673190712928772,0.018455663695931435,15059.9970703125,15396.0537109375,1939.8463134765625,4100.3427734375,107,32,107,32,0
50.0,13,9,84,87,32,35,85.35236075358502,33.30036200493199,0.7628510932638419,0.7416022206800807,0.07983566959399857,0.0,0.0,0.0,0.912560224533081,0.8195652365684509,0.7192474603652954,1.3258088827133179,1.3637968301773071,-0.28545448184013367,1796.208984375,1994.8328857421875,266.9436950683594,504.01092529296875,85,33,85,33,0
50.0,8,7,28,31,34,36,29.519802660956735,35.046386993201665,0.577645900026944,0.4788075722995926,-0.005120974138338452,0.0,0.0,0.0,0.7602042555809021,0.6917679905891418,-0.05162736028432846,1.7313284873962402,2.0887198448181152,0.037034038454294205,700.5050659179688,882.997802734375,125.57062530517578,219.65757751464844,30,35,29,35,0
50.0,17,10,65,69,34,37,67.09432627666685,35.34690953376082,0.9483960239567777,0.8050776807513096,-0.03859645646614185,0.0,0.0,0.0,0.9788407683372498,0.8918208479881287,-0.24702882766723633,1.0564730167388916,1.244544267654419,0.10129734873771667,2895.805419921875,3063.060791015625,418.1146240234375,847.0676879882812,67,35,67,35,0
50.0,15,9,188,191,36,39,189.49518434191882,37.624268016560585,0.8349555865136784,0.8024311993157056,0.05482053648380125,0.0,0.0,0.0,0.935882031917572,0.8726463317871094,0.6412105560302734,1.2030649185180664,1.2518278360366821,-0.16438210010528564,2433.4775390625,2620.475830078125,327.99957275390625,596.953369140625,190,38,189,38,0
50.0,13,8,166,169,39,42,167.47518466101698,40.57583835396964,0.7573567040899127,0.7777076646438377,0.10690982525111448,0.0,0.0,0.0,0.9353743195533752,0.8124895095825195,0.8328443169593811,1.3465111255645752,1.311275839805603,-0.37020406126976013,1459.3192138671875,1651.7314453125,204.26963806152344,373.48382568359375,167,40,167,40,0
50.0,9,7,124,127,41,43,125.64111156641165,41.96227520745003,0.6534287718648715,0.5126410326412089,-0.09102945029526643,0.0,0.0,0.0,0.8355281352996826,0.6840778589248657,-0.4562718868255615,1.5692065954208374,2.0001614093780518,0.5572866797447205,820.4144897460938,1004.1516723632812,142.79139709472656,256.9178466796875,126,42,126,42,0
50.0,15,14,213,216,40,43,214.38978906128256,41.62693068907014,0.8616553371133313,0.8789113384669851,0.05922796364375005,0.0,0.0,0.0,0.9644358158111572,0.9002389907836914,0.8577266335487366,1.1659576892852783,1.1430659294128418,-0.15714280307292938,2235.654052734375,2450.044189453125,287.2077941894531,529.9528198242188,214,42,214,42,0
50.0,19,12,235,238,40,45,236.32924938856812,42.04015716093038,0.8145661118872942,1.2955563385560076,-0.007666228437437805,0.0,0.0,0.0,1.1382787227630615,0.9024654626846313,-1.5548633337020874,1.2277158498764038,0.771912157535553,0.01452958770096302,2702.0673828125,2908.273193359375,351.88946533203125,745.0547485351562,236,42,236,42,0
